Tasks,Assigned To,Caption,Content Type,Date of Completion,Link,Order,PS,Posted,Tasks 1,Topic
Static 1 - P Shot,Soumya GD,"Most men say the same thing 8 weeks after treatment: ""Why did I wait so long?"" A 47-minute, medical-grade procedure using your own cells for natural enhancement.

The procedure you will wish you did sooner. London-based, registered RN, fully private.

Tap to learn more and see if this is right for you.",Creative,,https://drive.google.com/drive/folders/1sGyvPlAl6T2z_gXCmD6YBcpA_XmDAnD7?usp=sharing,1,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"🔵 P SHOT - NATURAL MALE ENHANCEMENT
Ad 1: Loss Aversion

PRIMARY TEXT:
Most men say the same thing 8 weeks after: ""Why did I wait so long?"" 47-minute procedure. Your own cells. Medical-grade.

HEADLINE:
The Procedure You'll Wish You Did Sooner

DESCRIPTION:
London. Registered RN. Private.

CTA: Learn More"
Static 10 - Girth Enhancement,Soumya GD,"£1,489 once for 730+ days of confidence. That is roughly £2.04 per day for real, visible results.

Stop spending monthly on supplements that do not work. Invest once in what does.

Instant girth enhancement results in a private setting—calculate your ROI and decide.",Creative,,https://drive.google.com/drive/folders/1UUGnIe-gf1XvI0z4ESfiPQhuXeLjb4_E?usp=drive_link,10,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"💉 GIRTH ENHANCEMENT
Ad 5: ROI Framing

PRIMARY TEXT:
£1,489 once. 730+ days minimum. £2.04/day. Stop spending monthly on supplements that don't work. Invest once in what does.

HEADLINE:
£2.04/Day. Confidence Daily.

DESCRIPTION:
Instant results. Private.

CTA: Calculate Your ROI"
Static 6 - Girth Enhancement,Soumya GD,"Some men are quietly playing a different game. Medical-grade dermal filler for girth enhancement with 2–5 year longevity and instant results.

Smart men skip endless research and take action.

From £1,289 in London. Book now and be done by Tuesday.",Creative,,https://drive.google.com/drive/folders/1lMyZgckmtTmd6uMn_Wm0TeEu35igGY3T?usp=drive_link,6,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"💉 GIRTH ENHANCEMENT
Ad 1: Unfair Advantage

PRIMARY TEXT:
Some men are playing a different game. Medical-grade dermal filler. 2-5 years. Instant results. You can keep googling or be done by Tuesday.

HEADLINE:
Smart Guys Skip The Research

DESCRIPTION:
From £1,289. London.

CTA: Book Now"
Static 3 - P Shot,Soumya GD,"While you are still researching, others are already 8 weeks into their results. One 45-minute procedure. 18–24 months of benefits.

They are already done. You are still reading.

Book now with an award-winning RN in London.",Creative,,https://drive.google.com/drive/folders/1jZ7yNaGjdNHJ_aST2lxOUsFn1TqtbyIU?usp=drive_link,3,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"🔵 P SHOT - NATURAL MALE ENHANCEMENT
Ad 3: Social Comparison

PRIMARY TEXT:
While you're researching, they're already 8 weeks in. 45 minutes. 18-24 months of results. Stop thinking. Start recovering.

HEADLINE:
They're Already Done. You're Still Reading.

DESCRIPTION:
Award-winning RN. London.

CTA: Book Now"
Static 2 - P Shot,Soumya GD,"You do not accept ""good enough"" at work. Why accept decline where it really matters? 122 London men have already chosen to act this year.

For men who solve problems instead of ignoring them. Medical-grade P Shot in a 45-minute procedure.

Book a confidential consultation today.",Creative,,https://drive.google.com/drive/folders/1baokz9vgrPY2em5HHVm0JJK0ehFL6Gq_?usp=drive_link,2,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"🔵 P SHOT - NATURAL MALE ENHANCEMENT
Ad 2: Identity

PRIMARY TEXT:
You don't accept ""good enough"" at work. Why accept decline where it actually matters? 122 London men didn't wait this year.

HEADLINE:
For Men Who Solve Problems, Not Ignore Them

DESCRIPTION:
Medical-grade. 45 minutes.

CTA: Book Consultation"
Static 5 - P Shot,Soumya GD,"163 days from now you will either be grateful you acted or still be ""thinking about it."" The booking takes minutes. The hesitation steals months.

Book this week and start the new year differently in a private London clinic.

Lock in your spot now.",Creative,,https://drive.google.com/drive/folders/1eswAku-u60TtO9goqUVD_Wmw2tDhfiY6?usp=drive_link,5,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"🔵 P SHOT - NATURAL MALE ENHANCEMENT
Ad 5: Urgency

PRIMARY TEXT:
163 days from now you'll thank yourself. Or you'll still be ""thinking about it."" 40 minutes to book. Months wasted deliberating.

HEADLINE:
Book This Week. Start 2025 Different.

DESCRIPTION:
Private London clinics.

CTA: Lock In Your Spot"
Static 8 - Girth Enhancement,Soumya GD,"Imagine the last time you felt inadequate in an intimate situation—and knowing it never has to feel like that again. 40 minutes of procedure versus years of doubt.

No more hesitation. No more doubt. 2–5 year results with private, medical-grade girth enhancement.

Choose certainty today.",Creative,,https://drive.google.com/drive/folders/116q3Vj-DSVvjRxKCJWSdElgaaS_-iLeL?usp=drive_link,8,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"💉 GIRTH ENHANCEMENT
Ad 3: Emotional Pain Point

PRIMARY TEXT:
The last time you'll feel inadequate in that situation. 40 minutes of procedure vs years of doubt. Which do you choose?

HEADLINE:
No More Hesitation. No More Doubt.

DESCRIPTION:
2-5 year results. Private.

CTA: Choose Certainty"
Static 9 - Girth Enhancement,Soumya GD,"Option A: You book this week and are already 6 months into results. Option B: You are still researching and waiting.

Still thinking? Others are already 6 months ahead.

Book your medical-grade London treatment this week.",Creative,,https://drive.google.com/drive/folders/1CFk71JTsQ9ztpuaONagu8zI6O4xw8Wpd?usp=drive_link,9,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"💉 GIRTH ENHANCEMENT
Ad 4: Time Contrast

PRIMARY TEXT:
Option A: Booked this week, 6 months of results already. Option B: Still researching. Still waiting for... what exactly?

HEADLINE:
Still Thinking? They're Already 6 Months In.

DESCRIPTION:
Medical-grade. London.

CTA: Book This Week"
Static 4 - P Shot,Soumya GD,"£950 spread over 18 months is less than £2 a day for renewed confidence. The real cost is in waiting and doing nothing.

£1.73 per day—less than your coffee—for a medical-grade P Shot procedure.

Calculate your investment and decide if now is the time to act.",Creative,,https://drive.google.com/drive/folders/1Lgnn2qWej80VwV11PcWvb0pPyvNQJlo4?usp=drive_link,4,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"🔵 P SHOT - NATURAL MALE ENHANCEMENT
Ad 4: Economic Reframing

PRIMARY TEXT:
£950 isn't the cost. It's what you pay for waiting. Less than £2/day for 18 months of confidence. Calculate that opportunity cost.

HEADLINE:
£1.73/Day. Less Than Your Coffee.

DESCRIPTION:
Medical-grade procedure.

CTA: Calculate Investment"
Static 7 - Girth Enhancement,Soumya GD,"This is not for everyone. If you are looking for magic pills, keep scrolling. If you want medical-grade girth enhancement with real results in about 40 minutes, read on.

This treatment is not for everyone—only for those serious about change.

Tap to book a confidential consultation and see if you qualify.",Creative,,https://drive.google.com/drive/folders/1tSutPOiDc0ZdpSpWkAnsoHzNMra68Uyi?usp=drive_link,7,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"💉 GIRTH ENHANCEMENT
Ad 2: Reverse Psychology

PRIMARY TEXT:
Not for everyone. If you want magic pills, keep scrolling. If you want medical-grade results in 40 minutes? Read on.

HEADLINE:
This Treatment Isn't For Everyone

DESCRIPTION:
See if you qualify.

CTA: Book Consultation"
Static 13 - LaserMe + Hydro Deluxe,Soumya GD,"You cannot reverse 20 years, but you can prevent the next 10. Start at 35 and still look 35 at 45.

LaserMe + Hydro Deluxe is compound interest for your face—focused on prevention, not repair.

Start now and give your future self the advantage.",Creative,,https://drive.google.com/drive/folders/1qOi4LV7c73mCJp5cOMRgXa7_aYaHfzU3?usp=drive_link,13,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"✨ LASERME + HYDRO DELUXE
Ad 3: Compound Prevention

PRIMARY TEXT:
You can't reverse 20 years. But you can prevent the next 10. Start at 35? Look 35 at 45. This is compound interest for your face.

HEADLINE:
The Younger You Start, The Younger You Stay

DESCRIPTION:
Prevention. Not repair.

CTA: Start Now"
Static 14 - LaserMe + Hydro Deluxe,Soumya GD,"3 lawyers, 2 bankers, 1 surgeon—ages 38–44—all treated this month. Their colleagues simply say, ""You look rested."" That is the goal.

Subtle, natural change that people notice without knowing why.

£660 with minimal downtime. See availability and secure your slot.",Creative,,https://drive.google.com/drive/folders/1HfG3Dwyrv6r7KA5cIXKD_BHJAg4bk7s9?usp=drive_link,14,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"✨ LASERME + HYDRO DELUXE
Ad 4: Social Proof

PRIMARY TEXT:
3 lawyers, 2 bankers, 1 surgeon. All this month. All 38-44. Their colleagues notice. ""You look rested."" That's the goal. Natural.

HEADLINE:
They're Not Telling. But People Notice.

DESCRIPTION:
£660. Minimal downtime.

CTA: See Availability"
Static 11 - LaserMe + Hydro Deluxe,Soumya GD,"Looking younger is not vanity—it is strategy. Age perception influences career, presence, and how you are received.

You already invest in skills and wardrobe. Now invest in perception with LaserMe + Hydro Deluxe.

£660 for natural-looking results. Book your consultation.",Creative,,https://drive.google.com/drive/folders/15WjWQFckAroVj9TWlTGDnNGr8TW2fl6F?usp=drive_link,11,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"✨ LASERME + HYDRO DELUXE
Ad 1: Career Edge

PRIMARY TEXT:
Looking 5 years younger isn't vanity. It's strategy. Age perception affects everything. You invest in skills and wardrobe. What about perception?

HEADLINE:
Strategic Investment. Not Vanity.

DESCRIPTION:
£660. Natural results.

CTA: Book Consultation"
Static 15 - LaserMe + Hydro Deluxe,Soumya GD,"You are both 42, but he looks 36. It is rarely just genetics or skincare—it is often treatment.

LaserMe + Hydro Deluxe puts you 6 months ahead instead of behind.

£660 package in London. Book today and close the gap.",Creative,,https://drive.google.com/drive/folders/1o37_XSnw-lQClkn3Tof2VpAXOT15N_JM?usp=drive_link,15,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"✨ LASERME + HYDRO DELUXE
Ad 5: Comparison

PRIMARY TEXT:
You're both 42. Why does he look 36? It's not genetics. Not skincare. It's this treatment. He's 6 months ahead. Will you be behind next year?

HEADLINE:
Close The 6-Month Gap

DESCRIPTION:
£660 package. London.

CTA: Book Today"
Static 12 - LaserMe + Hydro Deluxe,Soumya GD,"On apps and in bars, you have a few seconds to make an impression. Your personality wins the long game—but only if you get to the conversation.

Expand your range without adding more effort with LaserMe + Hydro Deluxe.

£660, same-day treatment. Book your package.",Creative,,https://drive.google.com/drive/folders/1dbyP1kBJuuYUmBE2vaTutAohhSbTbkJy?usp=drive_link,12,Done,Posted,SMM(December) (https://www.notion.so/SMM-December-2a88f935f1234a279e13aabf21771e4f?pvs=21),"✨ LASERME + HYDRO DELUXE
Ad 2: Dating Market

PRIMARY TEXT:
2 seconds on apps. 10 seconds at a bar. Your personality is brilliant. But first impressions? That's what gets you to the conversation.

HEADLINE:
Expand Your Range. Not Your Effort.

DESCRIPTION:
£660. Same day treatment.

CTA: Book Package"
reel26,,,Reel,,https://drive.google.com/drive/folders/1BzAghSu6s2-cfQlkB2aydXJN-07xry6x?usp=sharing,26,Not started,Sent for editing,,Script 26: The Couples Treatment — couples booking enhancement and skin treatments together
reel22,,"Here's why over-the-counter products don't work — they can't.

Pharmacy creams and online solutions are limited by law in how strong they can be.

Medical-grade treatments like the ones we offer? No such restrictions.

We use clinical-strength solutions that:
✓ Penetrate deeper
✓ Work faster
✓ Deliver real results

Whether it's skin rejuvenation or male enhancement, the difference between DIY and professional treatment is night and day.

Stop wasting money on products that barely work.

Invest in treatments that actually deliver.

👉 Book your confidential consultation today.",Reel,,https://drive.google.com/drive/folders/1lvgefE_nVtHlLBaaT8Kh7lj5afkGuimS?usp=sharing,22,Not started,Sent for editing,,Script 22: The Medical-Grade Difference — clinic treatments vs OTC products
reel25,,,Reel,,https://drive.google.com/drive/folders/1Bb2CI_qKCXuF6oeghZ0XioW1KGNZYy6R?usp=sharing,25,Not started,Sent for editing,,Script 25: The Investment Value — why treatments are an investment in quality of life
reel24,,,Reel,,https://drive.google.com/drive/folders/1wvY3PJ8-OZcV0dxHNHSJtyw5gMUYjb-G?usp=sharing,24,Not started,Sent for editing,,Script 24: The Results Timeline — how fast each treatment works
reel19,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,https://drive.google.com/file/d/1H6U_GhQCXEPmZEN-0HqpWjGDk17k1m6f/view?usp=drive_link,20,Not started,Edited,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
reel17,,"At Restart Medical, we specialise in men’s health and wellness — covering face, body, and intim8 treatments. Led by Alan Apolakiatis RN, every consultation is private & professional. Learn more via the link in bio.",Reel,,https://drive.google.com/file/d/1YTxubNI-AwPP0uAO9N-WULMnBXUxb_Fz/view?usp=drive_link,17,Not started,Posted,SMM (Jan 2026) (https://www.notion.so/SMM-Jan-2026-2e9553967a2c80d8a44feecf8cbb221e?pvs=21),Made by allen
